site_id,ts_utc,asset_id,asset_class,event_type,data_source,sim_run_id
11111111-1111-1111-1111-111111111111,2026-06-24T01:14:23.001298Z,b14db297-e308-4ce6-8cce-88edbafce40e,tesla_model_y_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:27:23.189906Z,58f68551-abe5-439c-9835-f1c46612ca05,zoox_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:27:39.280230Z,30892fc2-9078-4ec6-a8dc-006bc667cea3,zoox_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:30:03.855169Z,4b179b26-a48b-4f65-aad1-74ce3179a85d,zoox_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:33:44.242579Z,c3333333-0003-0003-0003-000000000001,zoox_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:34:50.322484Z,0d43459d-a82f-4d46-9579-43fc89feb981,waymo_jaguar_ipace_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:35:48.684862Z,b9ef130e-5de8-4084-a334-4ad8191bc096,waymo_jaguar_ipace_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:40:13.953088Z,0cb0532c-6fbb-4ec7-abfb-69e7681e6630,waymo_jaguar_ipace_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:40:20.462769Z,f0077a3a-5a40-4d50-bbe9-95a81a4acc8d,tesla_model_y_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:40:24.265622Z,bfbaf0b2-48ad-4283-8391-80f301eda2be,zoox_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:47:17.395305Z,12cb06f0-cf74-436f-a37a-e660a52dc7e6,waymo_jaguar_ipace_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:48:52.912500Z,aff36072-eff1-4a55-be44-a55f5f8891e7,tesla_model_y_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:49:23.974274Z,0ea2ccfe-bbb0-4da0-b3c3-d4a9ef9a1fb7,waymo_jaguar_ipace_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:50:13.759465Z,7a138260-7c7d-40f9-9aaa-f41286a0aa6a,tesla_model_y_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:52:46.313712Z,1b9b6ea1-ed97-4a07-9b72-4be8a7189792,tesla_model_y_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:53:30.956639Z,b2222222-0002-0002-0002-000000000003,tesla_model_y_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:54:21.978948Z,0cb1b8c6-c948-4937-8bf6-187442a7be1a,waymo_jaguar_ipace_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:55:19.301426Z,1ad24ec9-3039-4ab4-9b78-68c35a26f603,waymo_jaguar_ipace_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:55:26.146921Z,c8ae20e3-3613-4ad1-b003-274321c4a101,waymo_jaguar_ipace_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:55:34.088728Z,aee7a860-ffee-4629-bfda-3ffc5b74dd38,waymo_jaguar_ipace_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:55:59.193302Z,99ddf4ff-96d7-4257-b1ce-cb9437335ce8,tesla_model_y_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:56:16.081230Z,137ab789-9a83-4ee9-9610-7fcd8238fe43,waymo_jaguar_ipace_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:56:16.659721Z,8f680446-212c-4aca-bf07-f55b7fa0223e,zoox_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
11111111-1111-1111-1111-111111111111,2026-06-24T01:56:19.826711Z,b73b5763-07e4-48e3-9e8c-3158301af418,tesla_model_y_robotaxi_2024,departure,twin,f653bef9-4453-43a9-9210-f9bd512f5607
