site_id,ts_utc,generation_kw,load_kw,bess_soc,bess_capacity_kwh,solar_kw,genset_kw,grid_import_kw,grid_export_kw,bess_output_kw,ev_charging_kw,building_load_kw,lighting_load_kw,data_source,sim_run_id
11111111-1111-1111-1111-111111111111,2026-05-28T06:04:00Z,0.0,46.7,60.05,3000.00,0.00,,796.70,0.00,-750.00,0.00,46.70,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T18:55:37.521690Z,523.7,123.9,17.78,3000.00,523.70,,0.00,85.50,-314.20,0.00,123.90,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T19:04:50.747818Z,1495.0,177.0,56.82,3000.00,445.00,,0.00,1318.00,1050.00,0.00,177.00,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T19:25:37.521690Z,518.5,93.3,27.85,3000.00,518.50,,200.10,0.00,-625.30,0.00,93.30,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T19:55:37.521690Z,513.3,134.3,37.82,3000.00,513.30,,240.10,0.00,-619.10,0.00,134.30,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T20:25:37.521690Z,1378.5,135.1,19.82,3000.00,328.50,,0.00,1243.40,1050.00,0.00,135.10,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T20:55:37.521690Z,468.1,165.7,27.48,3000.00,468.10,,175.60,0.00,-478.00,0.00,165.70,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T21:25:37.521690Z,402.0,98.3,35.85,3000.00,402.00,,218.30,0.00,-522.10,0.00,98.30,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T21:55:37.521690Z,1294.8,143.6,17.85,3000.00,244.80,,0.00,1151.20,1050.00,0.00,143.60,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T22:25:37.521690Z,233.9,105.8,22.42,3000.00,233.90,,159.10,0.00,-287.20,0.00,105.80,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T22:55:37.521690Z,182.7,116.9,26.37,3000.00,182.70,,184.20,0.00,-250.00,0.00,116.90,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T23:25:37.521690Z,87.0,69.5,28.87,3000.00,87.00,,144.30,0.00,-161.80,0.00,69.50,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-28T23:55:37.521690Z,44.4,91.2,28.74,3000.00,44.40,,46.80,0.00,0.00,0.00,91.20,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-29T00:25:37.521690Z,0.0,74.1,28.60,3000.00,0.00,,74.10,0.00,0.00,0.00,74.10,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-29T00:55:37.521690Z,0.0,117.9,28.46,3000.00,0.00,,117.90,0.00,0.00,0.00,117.90,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-29T01:25:37.521690Z,0.0,61.5,28.33,3000.00,0.00,,61.50,0.00,0.00,0.00,61.50,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-29T01:55:37.521690Z,0.0,57.1,28.19,3000.00,0.00,,57.10,0.00,0.00,0.00,57.10,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-29T02:25:37.521690Z,0.0,51.7,28.06,3000.00,0.00,,51.70,0.00,0.00,0.00,51.70,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-29T02:55:37.521690Z,0.0,46.2,27.94,3000.00,0.00,,46.20,0.00,0.00,0.00,46.20,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-29T03:25:37.521690Z,0.0,65.9,27.79,3000.00,0.00,,65.90,0.00,0.00,0.00,65.90,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-29T03:55:37.521690Z,0.0,47.0,27.66,3000.00,0.00,,47.00,0.00,0.00,0.00,47.00,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-29T04:25:37.521690Z,0.0,58.1,27.51,3000.00,0.00,,58.10,0.00,0.00,0.00,58.10,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-29T04:55:37.521690Z,0.0,48.8,27.39,3000.00,0.00,,48.80,0.00,0.00,0.00,48.80,0.00,twin,
11111111-1111-1111-1111-111111111111,2026-05-29T05:25:37.521690Z,0.0,54.8,39.50,3000.00,0.00,,804.80,0.00,-750.00,0.00,54.80,0.00,twin,
